Municipality_ID,Municipality,Province,Year,Region_Group,Population,Bankrupt,Total Revenues_pc,"Current Tax, Contribution & Equalization Revenues_pc",Non‑Tax Revenues_pc,Current Transfers_pc,Revenues from Financial Asset Reduction_pc,Capital Revenues_pc,Treasurer/Cashier Advances_pc,Third‑Party & Giro Revenues_pc,Loan Uptake_pc,Total Expenses_pc,Administrative Deficit_pc,Public Debt_pc,Funds & Reserves_pc,Financial Advances_pc,Land Planning & Housing_pc,"Agriculture, Agri‑food Policies & Fisheries_pc",Economic Development & Competitiveness_pc,Energy & Diversification of Sources_pc,Sustainable Development & Environmental Protection_pc,Transport & Right to Mobility_pc,Tourism_pc,Justice_pc,Public Order & Safety_pc,Education & Right to Study_pc,"Social Rights, Policies & Family_pc",Employment & Vocational Training_pc,"Youth Policies, Sports & Leisure_pc",Civil Rescue_pc,Health Protection_pc,Cultural Heritage Protection & Enhancement_pc,"Institutional, General & Management Services_pc",Services for Third Parties_pc,Relations with Other Local Authorities_pc,International Relations_pc,Municipal Fragility Index (MFI) - (Decile),Employment rate (20-64 years),Population aged 25-64 with an educational qualification no higher than lower secondary education,Population growth rate
62008,BENEVENTO,BN,2017,Sud,59200,1,2420.1524155405405,712.5370101351351,63.33035472972973,149.06704391891893,0.0,198.72569256756756,1002.8770101351352,280.70510135135135,12.910219594594595,2495.5409797297298,,77.76023648648649,0.0,1012.0689358108108,122.25670608108108,0.0,16.531064189189188,0.06263513513513513,309.8549493243243,176.14094594594596,0.03126689189189189,3.246114864864865,44.54804054054054,23.6483277027027,104.19905405405406,0.0,3.4351689189189187,6.440996621621622,0.0,15.501452702702704,298.4301689189189,281.38493243243244,0.0,0.0,4,58.17,27.09,-43.48
73018,MONTEPARANO,TA,2017,Sud,2367,1,1353.5999155048585,256.74778200253485,63.168990283058726,266.7490494296578,0.0,117.10984368398817,559.8331220954796,89.99155048584706,0.0,1474.8567807351078,,55.814533164343054,0.0,559.8331220954796,21.588508660752005,0.0,0.0,0.0,113.22179974651458,156.3844528939586,0.0,0.0,53.35825940008449,52.27629911280101,7.937051119560626,0.0,0.0,0.0,0.0,4.975918884664132,363.77651035065486,85.6903253062949,0.0,0.0,10,51.61,47.39,-8.7
79008,BADOLATO,CZ,2017,Sud,2939,1,1442.2715209254848,399.18781898604965,90.10207553589656,120.24974481116026,0.0,184.85335148009528,0.0,354.75978223885676,293.11874787342634,1497.8087784960871,,43.62572303504594,0.0,0.0,63.46512419190201,0.0,41.2347737325621,91.29567880231372,140.0261993875468,81.72065328342974,0.0,0.0,13.192922762844505,63.01667233752977,61.206873086083704,0.0,3.0622660768969037,0.0,0.0,0.287853011228309,544.5124191902007,351.1612793467166,0.0,0.0,7,51.99,34.12,-74.28
82028,CERDA,PA,2017,Isole,5130,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,44.32,56.49,-50.7
82023,CASTELDACCIA,PA,2017,Isole,11688,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,48.02,46.13,23.11
62033,FRAGNETO L'ABATE,BN,2017,Sud,1010,1,4305.572277227723,606.6564356435644,92.74653465346535,36.002970297029705,0.0,1715.5653465346534,0.0,1795.618811881188,58.98316831683168,4342.213861386139,,51.28217821782178,0.0,0.0,532.9178217821782,0.0,0.0,0.0,443.8910891089109,749.0623762376238,0.0,0.0,41.67920792079208,44.597029702970296,1.9801980198019802,0.0,0.0,7.284158415841584,0.0,0.0,719.2544554455445,1750.2643564356435,0.0,0.0,9,56.29,39.79,-36.94
83007,BROLO,ME,2017,Isole,5773,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,58.08,35.65,-2.91
70055,PORTOCANNONE,CB,2017,Sud,2458,1,5795.963384865745,859.2758340113913,249.17209113100083,2082.474369406021,0.0,913.3413344182262,1505.5768917819366,186.12286411716843,0.0,5629.092351505289,0.0,92.87754271765664,67.49755899104963,1513.7135882831572,1102.0036615134256,0.0,2.887306753458096,12.975589910496339,332.95484133441823,120.54719283970708,2.2473555736371034,0.0,5.593572009764036,66.61513425549226,1713.6171684296175,0.0,6.779088689991863,0.0,0.0,8.493490642799024,395.6847030105777,182.79495524816923,1.8100081366965013,0.0,10,53.29,40.05,-23.88
58012,BELLEGRA,RM,2017,Centro,2818,1,1689.9258339247694,536.6628814762242,62.05251951738822,141.22036905606814,0.0,78.98616039744499,701.3257629524486,169.67814052519518,0.0,1689.9258339247694,,86.01774308019873,0.0,664.5997161107168,69.38183108587651,0.0,0.0,0.0,180.09403832505322,24.027679205110008,0.0,0.0,44.38005677785664,114.805535841022,50.530872959545775,0.0,0.0,0.0,0.0,0.0,284.69233498935415,171.3960255500355,0.0,0.0,9,58.36,40.6,-44.8
61002,ALIFE,CE,2017,Sud,7656,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,54.01,35.5,-5.51
83046,MAZZARRA' SANT'ANDREA,ME,2017,Isole,1493,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,48.88,48.91,-65.37
