Municipality,Province,year
FIUMEFREDDO DI SICILIA,CT,2021
PALAGONIA,CT,2021
ITALA,ME,2021
NARO,AG,2022
MARIGLIANELLA,NA,2022
FRASCATI,RM,2022
CANICATTI',AG,2022
CALATABIANO,CT,2022
CROSIA,CS,2022
AFRAGOLA,NA,2022
CALTAGIRONE,CT,2022
AMENDOLARA,CS,2022
BOLOGNANO,PE,2022
TORTORICI,ME,2022
CARINOLA,CE,2022
JOPPOLO,VV,2022
PEDARA,CT,2022
FRIGNANO,CE,2022
CERETTO LOMELLINA,PV,2022
CASACANDITELLA,CH,2022
GUALTIERI SICAMINO',ME,2022
MALVAGNA,ME,2022
SAN DANIELE PO,CR,2022
NOTO,SR,2022
SANTO STEFANO ROERO,CN,2022
PIZZONE,IS,2022
PIETRADEFUSI,AV,2022
GRANITI,ME,2022
PAOLISI,BN,2022
GROTTERIA,RC,2023
SANTA VENERINA,CT,2023
SANT'ANGELO A FASANELLA,SA,2023
NISCEMI,CL,2023
ISOLA DELLE FEMMINE,PA,2023
PETROSINO,TP,2023
GIOIA SANNITICA,CE,2023
USTICA,PA,2023
MONTELANICO,RM,2023
OLIVERI,ME,2023
MAZZARINO,CL,2023
CHIETI,CH,2023
PIETRAPAOLA,CS,2023
TORRICE,FR,2023
PIETRADEFUSI,AV,2023
CACCAMO,PA,2023
ORTA DI ATELLA,CE,2023
CHIARAMONTE GULFI,RG,2023
VOLLA,NA,2023
ACI CATENA,CT,2023
MOIO ALCANTARA,ME,2023
MILO,CT,2023
GELA,CL,2023
BASSIANO,LT,2023
BARCELLONA POZZO DI GOTTO,ME,2023
GENAZZANO,RM,2023
SANT'ALFIO,CT,2023
CAMASTRA,AG,2023
CAPIZZI,ME,2023
