municipalities,Province,inhabitants,SizeCategory
arpino,FR,6898.0,Medium
brancaleone,RC,3314.0,Small
altilia,CS,671.0,Small
santa-domenica-vittoria,ME,871.0,Small
benestare,RC,2469.0,Small
aidone,EN,4389.0,Small
ispica,RG,16127.0,Medium
trabia,PA,10279.0,Medium
acquappesa,CS,1743.0,Small
santagata-di-esaro,CS,1715.0,Small
maniace,CT,3768.0,Small
decollatura,CZ,2920.0,Small
militello-rosmarino,ME,1174.0,Small
mongiardino-ligure,AL,154.0,Small
bisignano,CS,9614.0,Medium
santantimo,,32576.0,Large
taormina,ME,10473.0,Medium
serra-san-bruno,VV,6355.0,Medium
amorosi,BN,2641.0,Small
tora-e-piccilli,CE,792.0,Small
barrafranca,EN,,Metropolitan
floridia,SR,21471.0,Large
casignana,RC,707.0,Small
luogosano,AV,1097.0,Small
soveria-mannelli,CZ,2903.0,Small
guardiagrele,CH,8548.0,Medium
villa-san-giovanni,RC,12920.0,Medium
fiumefreddo-di-sicilia,CT,9128.0,Medium
palagonia,CT,15802.0,Medium
itala,ME,1495.0,Small
naro,AG,7051.0,Medium
mariglianella,,7832.0,Medium
frascati,RM,22705.0,Large
canicatti,AG,34588.0,Large
calatabiano,CT,5167.0,Medium
crosia,CS,9630.0,Medium
afragola,,62198.0,Metropolitan
caltagirone,CT,36058.0,Large
amendolara,CS,2760.0,Small
bolognano,PE,1024.0,Small
tortorici,ME,5792.0,Medium
carinola,CE,7216.0,Medium
joppolo,VV,1671.0,Small
pedara,CT,14915.0,Medium
frignano,CE,9010.0,Medium
ceretto-lomellina,PV,178.0,Small
casacanditella,CH,1170.0,Small
gualtieri-sicamino,ME,1591.0,Small
malvagna,ME,639.0,Small
san-daniele-po,CR,1291.0,Small
noto,SR,23905.0,Large
santo-stefano-roero,CN,1325.0,Small
pizzone,IS,315.0,Small
pietradefusi,AV,1965.0,Small
graniti,ME,1449.0,Small
paolisi,BN,2007.0,Small
grotteria,RC,2881.0,Small
santa-venerina,CT,8421.0,Medium
santangelo-a-fasanella,SA,514.0,Small
niscemi,CL,25179.0,Large
isola-delle-femmine,PA,7084.0,Medium
petrosino,TP,7962.0,Medium
gioia-sannitica,CE,3357.0,Small
ustica,PA,1307.0,Small
montelanico,RM,2066.0,Small
oliveri,ME,2048.0,Small
mazzarino,CL,,Metropolitan
chieti,CH,48666.0,Large
pietrapaola,CS,1021.0,Small
torrice,FR,4733.0,Small
pietradefusi,AV,1965.0,Small
caccamo,PA,7747.0,Medium
orta-di-atella,CE,27118.0,Large
chiaramonte-gulfi,RG,8024.0,Medium
volla,,25369.0,Large
aci-catena,CT,28124.0,Large
moio-alcantara,ME,685.0,Small
milo,CT,1038.0,Small
gela,CL,71937.0,Metropolitan
bassiano,LT,1461.0,Small
barcellona-pozzo-di-gotto,ME,40029.0,Large
genazzano,RM,5611.0,Medium
santalfio,CT,1518.0,Small
camastra,AG,1947.0,Small
capizzi,ME,2888.0,Small
