municipality,province,year,"AGRICOLTURA, POLITICHE AGROALIMENTARI E PESCA",ANTICIPAZIONI FINANZIARIE,ASSETTO DEL TERRITORIO ED EDILIZIA ABITATIVA,DEBITO PUBBLICO,"DIRITTI SOCIALI, POLITICHE SOCIALI E FAMIGLIA",Disavanzo di amministrazione,ENERGIA E DIVERSIFICAZIONE DELLE FONTI ENERGETICHE,FONDI E ACCANTONAMENTI,GIUSTIZIA,ISTRUZIONE E DIRITTO ALLO STUDIO,ORDINE PUBBLICO E SICUREZZA,"POLITICHE GIOVANILI, SPORT E TEMPO LIBERO",POLITICHE PER IL LAVORO E LA FORMAZIONE PROFESSIONALE,RELAZIONI CON LE ALTRE AUTONOMIE TERRITORIALI E LOCALI,RELAZIONI INTERNAZIONALI,"SERVIZI ISTITUZIONALI, GENERALI E DI GESTIONE",SERVIZI PER CONTO TERZI,SOCCORSO CIVILE,SVILUPPO ECONOMICO E COMPETITIVITÀ,SVILUPPO SOSTENIBILE E TUTELA DEL TERRITORIO E DELL'AMBIENTE,TOTALE SPESE,TRASPORTI E DIRITTO ALLA MOBILITA',TURISMO,TUTELA DELLA SALUTE,TUTELA E VALORIZZAZIONE DEI BENI E ATTIVITA' CULTURALI
SERRA SAN BRUNO,VV,2021,2038,0,546747,723635,292967,NA,0,0,0,513479,64896,80785,0,0,0,2646546,8215610,20514,0,3417509,16561607,0,0,0,36881
AMOROSI,BN,2021,0,3538238,81162,100030,181770,NA,nan,nan,0,85999,617879,33117,nan,0,0,857994,1991805,1709,28741,1997815,9754241,221776,nan,0,16206
TORA E PICCILLI,CE,2021,10890,800000,867830,25402,32827,17080,1601059,15494,0,15886,17769,0,0,0,0,4491839,2801441,0,0,580558,13951514,2674858,0,0,15660
BARRAFRANCA,EN,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FLORIDIA,SR,2021,0,16504258,1056397,117735,2811490,0,0,79042,0,1800583,1108151,749976,0,0,0,5530707,4188808,54421,67880,6107119,41325504,942786,35503,0,170647
CASIGNANA,RC,2021,0,4273070,1384534,178056,153185,0,0,10411272,0,127559,0,0,187000,0,0,3651608,503584,372371,1484296,858921,23641373,0,53943,0,1973
LUOGOSANO,AV,2021,0,1587148,152360,201468,67599,NA,132429,0,0,19669,37138,0,0,0,0,662303,2120086,0,0,940854,6015699,0,0,0,94646
SOVERIA MANNELLI,CZ,2021,0,3691180,257240,172362,1704088,251329,0,2632673,85255,1212271,118434,87792,0,0,0,1948051,846614,589713,5060,2242391,16122501,458647,0,0,70731
GUARDIAGRELE,CH,2021,0,305941,127016,108207,3693463,NA,18643,0,0,752957,498420,71597,0,0,0,1719421,17945831,5723,40534,1537258,28441813,1144905,273986,0,197911
VILLA SAN GIOVANNI,RC,2021,0,0,34992,477279,1274599,NA,0,0,0,466972,536577,5700,0,0,0,3126255,24184621,19391,990,8125592,39437928,1117578,39020,0,28363
FIUMEFREDDO DI SICILIA,CT,2021,0,25416,908164,361242,445340,NA,300,0,0,334251,372103,51529,0,0,0,2630846,9720767,3603,8453,2023559,16909259,0,1000,0,22688
PALAGONIA,CT,2021,6012,18509058,583401,1867194,8011410,297781,5719451,213124,0,428191,847080,0,198578,2398890,0,6414180,17462170,1650,0,14945478,78872810,1135894,131049,0,0
ITALA,ME,2021,0,5000000,65091,329694,219994,137425,82000,9600,0,1017723,121655,69498,0,0,0,1489034,2121544,0,0,971079,12077394,580483,0,0,0
NARO,AG,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MARIGLIANELLA,NA,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FRASCATI,RM,2022,7673,0,953928,4136768,2118361,NA,0,0,0,2285333,1035318,29024,0,0,0,9190782,3725929,18907,133258,5508256,30516313,391473,17400,4551,959354
CANICATTI',AG,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CALATABIANO,CT,2022,1500,5950544,19194,119462,418622,278505,0,22000,10000,107881,279412,4060,0,0,0,1859805,3056000,nan,nan,1740194,13816074,176500,0,0,50900
CROSIA,CS,2022,0,6477744,938790,347095,728351,NA,0,0,0,143852,776270,21139,0,0,0,2865199,4848319,0,13350,3311142,21067918,555560,10000,19305,11801
AFRAGOLA,NA,2022,0,100826,1764915,954146,11092132,NA,1364341,0,0,1298321,2865238,14828,180103,0,0,13625184,43984679,4443,204000,26649000,106698969,1786230,0,809925,658
CALTAGIRONE,CT,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AMENDOLARA,CS,2022,0,705519,18000,375367,84131,NA,0,0,0,420778,373497,48073,0,0,0,2553202,4914588,0,0,890451,11189698,806092,0,0,0
BOLOGNANO,PE,2022,0,2245737,167464,66191,68836,NA,16478,0,0,118015,9858,0,0,0,0,591600,251586,17440,0,556952,4152103,40555,0,0,1392
TORTORICI,ME,2022,0,108877,94019,733530,296437,NA,26959,0,5617,955075,127850,0,0,0,0,2516569,8073923,0,0,931845,14252523,367203,0,0,14619
CARINOLA,CE,2022,0,894231,210094,970835,429819,NA,0,0,28812,202624,218590,35276,0,0,0,2096328,10328921,0,0,1769250,17257911,66115,0,0,7015
JOPPOLO,VV,2022,0,524302,969668,348148,53453,NA,0,0,0,93429,51953,0,0,0,0,3363947,4566596,500,0,301622,10292489,13722,0,0,5150
PEDARA,CT,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FRIGNANO,CE,2022,0,0,95657,801486,279384,NA,0,0,0,421191,259527,0,0,0,0,1543030,627357,21381,0,1540375,5942475,353088,0,0,0
CERETTO LOMELLINA,PV,2022,0,0,0,478,94412,NA,0,0,0,0,2559,0,0,0,0,297295,67001,0,0,10309,511492,39255,0,183,0
CASACANDITELLA,CH,2022,0,3216541,6808666,122629,106532,402713,0,35000,0,866483,36308,500,0,0,0,547221,868835,5469,0,329230,13297435,239000,0,0,115021
GUALTIERI SICAMINO',ME,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MALVAGNA,ME,2022,nan,2500000,541573,81902,60671,24250,nan,33894,nan,147569,27467,500,0,0,0,707727,5084480,nan,34039,647273,10010331,63718,77519,0,2000
SAN DANIELE PO,CR,2022,276,1047714,6120,129225,101713,NA,2474,nan,0,164426,76592,21705,0,0,0,433327,155948,44622,0,134832,2640928,302034,7048,1256,11615
NOTO,SR,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SANTO STEFANO ROERO,CN,2022,0,417189,0,150775,28865,NA,0,0,0,42919,0,30942,0,0,0,188235,81018,3925,451,91827,1130891,94545,0,0,200
PIZZONE,IS,2022,0,231911,40833,75706,8371,NA,0,0,0,1344,10971,784,0,3081,0,349264,740173,0,25000,145450,1694268,60937,443,0,0
PIETRADEFUSI,AV,2022,0,0,170435,228522,83780,NA,0,0,0,52222,58836,180448,0,0,0,617654,1971717,2063,0,585506,3981827,30645,0,0,0
GRANITI,ME,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PAOLISI,BN,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GROTTERIA,RC,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SANTA VENERINA,CT,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SANT'ANGELO A FASANELLA,SA,2023,0,360043,894875,146472,235969,46453,0,22000,12343,1495249,9423,11355,0,0,0,871924,2377112,229,3976011,1292842,14346346,1764434,91500,0,784565
NISCEMI,CL,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ISOLA DELLE FEMMINE,PA,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PETROSINO,TP,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GIOIA SANNITICA,CE,2023,0,5000000,3059273,325915,1109566,213374,629,100000,0,960221,249001,187920,0,0,0,1683662,8372673,77143,489076,9862814,36221808,4378065,349849,0,16000
USTICA,PA,2023,0,2100000,1706820,259889,979071,58869,0,23000,0,672526,79285,105534,0,0,0,1838737,7600642,600,98853,3909705,20588310,975136,32950,0,205563
MONTELANICO,RM,2023,3220,1802045,264805,59088,330377,267313,256713,0,0,1900985,71070,138230,0,0,0,1155687,703834,2858,49537,817169,8564990,664057,21843,0,323471
OLIVERI,ME,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MAZZARINO,CL,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHIETI,CH,2023,0,22266390,775925,8903223,10827548,3183817,15793,11780168,1020,2829490,1910639,770001,0,0,0,31364933,61030744,16712,520328,15887210,186763976,16584306,236617,51785,991145
PIETRAPAOLA,CS,2023,0,1027371,4868040,242747,101365,106800,18000,0,0,112067,207307,29960,0,74115,0,1864109,1905206,500,163786,3916966,14720957,182416,0,0,7002
TORRICE,FR,2023,0,3895383,672376,398374,910026,175969,121835,78000,0,6698435,107924,936476,0,0,0,1093270,1027344,161631,0,8828943,27531533,2576852,0,0,24663
PIETRADEFUSI,AV,2023,0,602000,4996032,269818,107110,6585,0,560685,0,239835,103310,175229,0,0,0,880190,6924907,982352,1033,2353181,20713553,2338476,0,7087,172309
CACCAMO,PA,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ORTA DI ATELLA,CE,2023,0,10000000,2818688,2350768,6292228,1486863,0,841681,0,4177262,448393,897778,0,0,0,6037280,3175552,12345,0,5210650,42447503,131879,0,0,53000
CHIARAMONTE GULFI,RG,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VOLLA,NA,2023,0,3500000,3128909,510669,6773566,2328870,0,100000,0,5592458,1087587,55207,0,0,0,9494565,29778081,0,198490,9095737,69348269,0,0,0,33000
ACI CATENA,CT,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MOIO ALCANTARA,ME,2023,6436,300000,1244967,363227,146459,21587,105853,0,0,146345,12320,165469,0,0,0,910517,2433121,36932,29052,4777140,11805627,1077559,16600,0,33630
MILO,CT,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GELA,CL,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BASSIANO,LT,2023,0,468000,1414909,47796,65426,93658,15812,35372,0,363743,170365,593721,0,0,0,787702,931324,140,56305,1701491,8255823,1110591,306775,50,186300
BARCELLONA POZZO DI GOTTO,ME,2023,361158,30012781,3745410,1552781,16045943,3637012,0,180000,814,4067301,1458466,1224877,0,0,0,19665936,73150848,2562477,216689,27497055,194907966,5913315,95900,0,7156216
GENAZZANO,RM,2023,2100,5278978,1673125,268624,794548,286295,0,nan,0,911432,160860,4200,0,0,0,5120082,2727483,57690,0,2711904,20473082,369760,3702,0,388593
SANT'ALFIO,CT,2023,564,3178000,2583953,121056,298620,12398,129320,50000,818,1238087,118695,12474,19911,0,0,3581515,4890645,564,42490,4330285,23208432,1759311,146768,0,705356
CAMASTRA,AG,2023,39300,2278973,180963,126537,983876,148297,0,14333,0,1405758,262008,7800,0,0,0,1957184,1384115,0,66926,756219,10334792,570709,0,0,300090
CAPIZZI,ME,2023,0,2000000,3040958,280175,1130782,0,1246964,1124049,0,3457623,173241,11656339,0,0,0,4661769,6935575,302654,1018500,6542850,58405725,13571770,0,0,1262477
