municipality,province,year,ACCENSIONE PRESTITI,ANTICIPAZIONI DA ISTITUTO TESORIERE/CASSIERE,"ENTRATE CORRENTI DI NATURA TRIBUTARIA, CONTRIBUTIVA E PEREQUATIVA",ENTRATE DA RIDUZIONE DI ATTIVITÀ FINANZIARIE,ENTRATE EXTRATRIBUTARIE,ENTRATE IN CONTO CAPITALE,ENTRATE PER CONTO TERZI E PARTITE DI GIRO,TOTALE ENTRATE,TRASFERIMENTI CORRENTI
CASANDRINO,NA,2019,2443,0,6006221,0,1467466,307198,1032180,8951604,136096
QUARTO,NA,2019,1899586,6117667,30113726,0,25531523,22415592,105987647,194621213,2555472
LAVAGNA,GE,2019,1702444,1227198,13808832,41490,2864680,862099,5916332,26972837,549762
SANT'ARPINO,CE,2019,0,350000,4918107,0,1135167,2063989,968375,9837476,401836
RANDAZZO,CT,2019,0,6201290,6066813,0,1209638,328726,3771283,19857746,2279996
DINAMI,VV,2019,127905,315040,920381,0,173495,74673,493939,2274394,168960
CASTROVILLARI,CS,2019,295,4999043,10615581,0,2735690,1191229,2318219,24990897,3130840
MARINEO,PA,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA
SAN LORENZO MAGGIORE,BN,2019,0,0,0,0,0,0,0,0,0
CERCHIARA DI CALABRIA,CS,2019,385363,1029255,4514797,0,2166946,13267112,8589523,32486302,2533306
PAOLISI,BN,2019,0,850105,789134,0,325468,801219,446320,3253633,41387
PACHINO,SR,2019,1026,13025284,35469638,0,17146243,7453798,19970165,100853712,7787557
NOLA,NA,2019,187441,0,16886664,0,4358123,1379860,27156524,53282790,3314178
BRIATICO,VV,2019,7067,0,1525994,0,182983,682457,472613,3917126,1046012
PAGANI,SA,2019,3217968,4800000,54235309,0,8974092,25826793,8211066,108435063,3169834
ROSOLINI,SR,2019,0,13554901,8153865,0,1637606,879236,2259796,28280225,1794820
BELVEDERE MARITTIMO,CS,2019,141841,6842205,4261467,0,2581518,986782,1481680,17412923,1117431
LUCERA,FG,2019,850000,17663580,18288089,434740,1542515,2066246,5952950,49772125,2974005
COSENZA,CS,2019,4433426,65306476,47325115,0,13171296,3409020,42618649,184421890,8157908
PORTICO DI CASERTA,CE,2019,10150,2558178,3229006,0,204870,179260,1369147,7875719,325108
MASSAROSA,LU,2019,150000,13142963,14809419,0,4185230,2046960,2829955,38580965,1416438
MOROLO,FR,2019,203271,3640491,1400272,0,192439,312127,360720,6394273,284953
CONDOFURI,RC,2019,52108,3191095,1850750,0,606177,45547,691687,7363575,926212
SCANNO,AQ,2019,0,2000000,1777641,0,287649,2202384,295100,6573275,10500
RIESI,CL,2019,1263417,5082370,4216958,0,368000,444828,4687759,17971999,1908666
CARAFFA DI CATANZARO,CZ,2020,16697,850000,1807199,0,1298142,4932512,759950,10392989,728489
FICARAZZI,PA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA
MELITO DI PORTO SALVO,RC,2020,2859222,2283296,14439766,0,9682216,11059997,15228289,59560683,4007897
PALOMBARO,CH,2020,10809,1010000,885755,0,617727,3449180,1713722,7723561,36367
PIAZZA ARMERINA,EN,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRUMO NEVANO,NA,2020,673771,16938162,30613356,0,4517411,13069910,34280120,101367016,1274287
BELMONTE MEZZAGNO,PA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA
FERRUZZANO,RC,2020,121591,626539,1987378,0,2336438,6802612,6181252,18380955,325146
TURSI,MT,2020,0,4000000,4331206,124578,1221623,14160527,26264338,51152211,1049939
FOPPOLO,BG,2020,0,205229,620693,0,113213,680000,1003175,2641421,19111
VALLE DI MADDALONI,CE,2020,0,1422792,1060660,0,296803,746670,315304,4043842,201613
PALIZZI,RC,2020,36610,1100000,2971906,0,2375565,26475228,4646672,38419992,814011
CASORIA,NA,2020,4030117,8550236,36945871,0,4011758,1855155,43197256,104322122,5731730
LEONFORTE,EN,2020,797332,1500000,4709852,0,814247,1879366,2951000,19261647,6609849
POGGIO NATIVO,RI,2020,0,0,1246785,0,209280,87740,190161,1839392,105426
BUSCEMI,SR,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRAGONI,CE,2020,546265,1100000,2910542,0,1535577,15890989,2138239,24393758,272146
GRUMO APPULA,BA,2020,853063,2000000,9868366,18704,2310115,20798761,12722993,58640900,10068899
PIETRASTORNINA,AV,2020,232950,940500,880776,0,136866,135750,781050,3244162,136270
ARPINO,FR,2020,189867,0,3677745,0,650896,1301676,10802747,17247424,624494
BRANCALEONE,RC,2020,0,0,2088976,0,268135,937383,7448443,11361820,618883
ALTILIA,CS,2020,0,724703,177679,0,135393,99053,380962,1896628,378839
SANTA DOMENICA VITTORIA,ME,2020,359324,1600000,1759197,0,925414,7427235,4700124,17838830,1067537
